date,A005930,A000660,A035720,A035420,A114800
2013-08-28,26180.0,27700.0,17200.0,91999.92300000002,8040.0
2013-08-29,26880.0,27450.0,17580.0,96000.0,7915.0
2013-08-30,27360.0,28250.0,17000.0,89300.0,7860.0
2013-09-02,27020.0,28300.0,17360.0,89900.0,7855.0
2013-09-03,26740.0,28450.0,17120.0,88600.0,7825.0
2013-09-04,26800.0,28650.0,17180.0,87400.0,7825.0
2013-09-05,27300.0,28150.0,17260.0,91300.0,7735.0
2013-09-06,27380.0,27100.0,17500.0,91300.0,7720.0
2013-09-09,27460.0,28450.0,17500.0,97200.0,7650.0
2013-09-10,27920.0,28950.0,17600.0,104000.0,7570.0
2013-09-11,28040.0,28900.0,17960.0,102400.0,7540.0
2013-09-12,28200.0,28900.0,18120.0,105000.0,7535.0
2013-09-13,28120.0,29000.0,18240.0,104200.0,7575.0
2013-09-16,28500.0,29800.0,18260.0,105800.0,7490.0
2013-09-17,27720.0,30300.0,18460.0,104800.0,7535.0
2013-09-23,27200.0,30550.0,18400.0,108000.0,7525.0
2013-09-24,27460.0,30500.0,18660.0,108600.0,7520.0
2013-09-25,27280.0,29750.0,18720.0,111000.0,7575.0
2013-09-26,27440.0,30350.0,18720.0,110600.0,7505.0
2013-09-27,27320.0,30350.0,18760.0,111000.0,7500.0
2013-09-30,27340.0,30250.0,18540.0,111400.0,7565.0
2013-10-01,27640.0,29950.0,18900.0,111400.0,7555.0
2013-10-02,28360.0,31150.0,19100.0,110800.0,7550.0
2013-10-04,28360.0,32450.0,18900.0,109400.0,7560.0
2013-10-07,28720.0,32900.0,18940.0,109600.0,7575.0
2013-10-08,28600.0,32750.0,18920.0,114400.0,7530.0
2013-10-10,28600.0,33600.0,18800.0,113600.0,7555.0
2013-10-11,28860.0,33350.0,18800.0,116400.0,7420.0
2013-10-14,28760.0,33100.0,18460.0,116000.0,7425.0
2013-10-15,29140.0,33450.0,18580.0,126400.0,7365.0
2013-10-16,29000.0,33400.0,17940.0,119000.0,7360.0
2013-10-17,29260.0,33800.0,17940.0,122000.0,7330.0
